X,Y,Z
17.569460,11.214260,-1.805938
17.424891,11.184650,-1.748621
18.045750,10.700940,-1.735530
18.080410,10.994640,-1.788916
18.078581,10.834900,-1.725149
18.382040,10.774800,-1.787817
18.473061,10.948660,-1.812387
12.062880,0.670849,0.431501
11.958300,0.576412,0.362649
12.189760,0.489900,0.375433
12.034240,0.446245,0.231531
2.949254,7.747518,0.358052
2.955832,7.509112,0.431736
3.239055,7.659329,0.366814
2.875573,7.806724,0.278425
15.971310,10.544800,-1.673274
16.127090,10.773800,-1.737104
15.979670,10.729420,-1.649686
12.376070,12.090040,-1.720545
12.362280,12.394230,-1.687455
2.463060,7.553862,0.437034
2.626266,7.687556,0.372233
12.596270,12.562370,-1.735939
12.383920,12.834690,-1.700397
12.533730,12.996850,-1.689119
10.704460,12.258150,-1.667410
10.602930,12.727630,-1.701134
10.441020,12.446910,-1.677082
10.881080,12.944980,-1.734254
10.533290,13.140640,-1.699553
2.212248,7.710241,0.352850
10.919140,12.441680,-1.685240
11.034540,12.625280,-1.695168
1.933334,7.519730,0.435582
12.213970,11.640550,-1.667540
12.056190,11.958740,-1.638119
12.672140,11.852970,-1.705427
13.072150,11.968300,-1.683599
12.648660,11.576280,-1.635605
12.810290,11.992310,-1.728317
13.114420,11.784870,-1.657127
13.531530,11.665170,-1.702393
13.428550,12.053880,-1.729304
14.072290,11.274150,-1.690773
14.167920,11.130850,-1.694664
14.294390,11.302670,-1.687285
13.892820,11.201800,-1.634410
14.003650,11.648620,-1.722055
13.654160,11.433080,-1.666404
13.416390,11.445780,-1.653253
13.780460,11.920960,-1.761956
13.926250,11.874890,-1.712174
14.267770,11.661170,-1.732104
14.659850,11.309300,-1.715929
14.523430,11.164960,-1.683457
14.409010,11.554030,-1.706347
14.274860,11.881980,-1.756762
14.097190,12.047120,-1.794304
14.359690,11.882840,-1.581873
16.553801,10.579690,-1.724836
16.223740,10.497330,-1.695874
16.467850,10.342160,-1.652526
16.263309,10.763670,-1.677436
16.664600,10.385420,-1.685921
17.016239,10.375190,-1.676744
16.838850,10.504200,-1.739555
17.069830,10.239720,-1.700306
15.049240,10.639770,-1.662473
15.265690,10.950900,-1.740628
14.971260,10.845270,-1.688849
15.312190,10.516320,-1.662288
14.950120,11.128170,-1.704278
14.698780,11.024560,-1.708118
14.988710,11.293490,-1.742932
15.513580,10.824830,-1.707033
15.836690,10.585670,-1.691575
15.588960,10.519570,-1.660484
15.810220,10.833790,-1.708594
14.773720,11.324770,-1.651026
14.847920,11.519450,-1.701894
14.945520,11.626660,-1.707205
16.216249,10.897250,-1.715772
16.421301,10.813720,-1.722014
16.581070,10.816940,-1.709465
12.169100,12.083840,-1.640388
2.750828,7.234610,0.442901
3.126775,7.261495,0.392325
12.882830,12.149490,-1.733242
12.052840,12.699710,-1.677191
12.324910,13.152440,-1.746419
11.867690,13.010210,-1.681581
13.952300,12.099000,-1.761330
14.365350,12.008190,-1.626406
14.475890,11.930650,-1.623285
17.436991,9.826674,-1.640386
17.564260,9.954100,-1.718712
17.278311,10.064400,-1.662798
17.872669,9.912825,-1.697502
17.598490,9.800282,-1.660732
17.738760,9.748870,-1.678046
17.837940,10.269400,-1.742732
17.549080,10.116540,-1.698870
17.302660,10.282170,-1.743590
17.627640,10.301760,-1.727256
17.954531,10.109750,-1.713299
18.219070,10.102290,-1.720102
18.312450,9.880843,-1.621825
19.488670,9.920219,-1.701930
19.231541,9.896126,-1.720015
19.337469,9.682488,-1.657019
19.574570,9.647949,-1.633672
19.832520,9.684545,-1.636902
18.924999,10.025060,-1.639112
19.103340,10.068890,-1.718579
19.253410,10.229880,-1.745824
19.451260,10.150220,-1.759874
2.767171,7.001309,0.428648
10.273960,12.045680,-1.656151
10.509470,12.067490,-1.642369
10.132730,12.456260,-1.655280
10.214460,12.728320,-1.657636
9.950403,12.631230,-1.623064
2.937653,6.855373,0.418641
10.338650,12.960660,-1.631614
13.968860,10.895420,-1.621153
14.393760,10.726900,-1.632319
14.543420,10.428310,-1.641451
14.667610,10.660660,-1.682270
14.510650,10.940640,-1.628373
15.592510,10.297200,-1.645747
16.433840,10.208680,-1.679643
16.694981,10.148230,-1.629637
14.792480,10.639210,-1.622323
2.609579,7.101387,0.432299
12.054530,12.518730,-1.628599
11.902270,12.142230,-1.608506
2.491857,6.880059,0.438637
11.556140,6.173464,-1.603887
11.131720,6.061419,-1.608163
11.628800,5.885012,-1.598072
2.554306,6.482025,0.462873
3.049629,6.563429,0.403412
11.563330,6.615413,-1.611167
11.430090,6.713698,-1.602210
11.076790,6.495446,-1.601584
2.574179,6.166595,0.480886
2.779500,5.968479,0.434719
3.083005,6.127923,0.385575
11.266390,7.090283,-1.605971
11.745400,7.050096,-1.606261
2.189039,6.184466,0.329737
2.455617,6.264035,0.447461
1.930430,6.358046,0.441505
10.103490,12.903180,-1.587624
3.202538,5.938706,0.385022
11.742170,12.027080,-1.589652
13.691230,10.398640,-1.630827
13.541090,10.321800,-1.623228
13.755140,10.312530,-1.560711
13.984290,10.746780,-1.633770
13.809180,10.808100,-1.582246
13.867230,10.644320,-1.646406
13.627810,10.894590,-1.573867
14.314870,10.864880,-1.643728
14.226630,10.985010,-1.622232
3.004186,5.831769,0.302053
15.118320,10.356210,-1.648708
15.021910,10.464100,-1.582325
15.090580,10.046410,-1.579755
15.261340,10.351720,-1.581873
15.347960,10.183950,-1.600726
14.783420,10.357250,-1.619184
16.325279,10.000090,-1.600097
16.404030,9.858531,-1.617771
16.659969,9.945189,-1.586007
16.835730,9.918484,-1.644766
16.975580,10.085280,-1.663978
11.942640,12.332210,-1.639464
1.610869,7.480235,0.443950
1.822740,7.719108,0.268357
24.534870,5.637545,-1.582447
24.282631,5.682427,-1.580002
24.407141,5.494308,-1.640591
24.480129,5.894070,-1.592398
24.289190,6.028997,-1.626575
24.174360,5.855381,-1.577230
24.161890,6.032459,-1.595383
9.952428,11.788550,-1.603632
10.102640,11.613000,-1.564326
11.912160,11.340170,-1.584750
11.908130,11.589780,-1.591380
9.677718,11.754260,-1.591404
9.781203,12.142640,-1.611209
10.032530,12.200640,-1.631157
9.922712,12.289200,-1.568854
10.437280,11.804110,-1.528289
10.224780,12.956470,-1.527079
11.065970,12.397660,-1.574307
1.287838,7.461152,0.420256
1.414687,7.646587,0.299930
1.196265,7.684314,0.255510
11.734660,12.466950,-1.609225
11.405580,12.671530,-1.594839
11.749170,12.667870,-1.642401
13.957010,10.471640,-1.558130
0.833139,7.448347,0.435371
1.032597,7.656628,0.179780
14.135070,10.455970,-1.593884
14.389040,10.231580,-1.576537
12.029130,11.194280,-1.603561
12.465560,11.348060,-1.617349
12.776680,11.261560,-1.574513
13.141140,11.500450,-1.646603
13.160190,11.154620,-1.596766
13.391980,11.114870,-1.583475
13.618210,11.071440,-1.615046
14.606950,10.219440,-1.592025
15.618250,10.088880,-1.584683
15.945070,10.004310,-1.570103
15.891170,10.194070,-1.625907
17.012680,9.914912,-1.616165
16.951910,9.618020,-1.614123
17.105631,9.711658,-1.626395
17.245300,9.766013,-1.654203
17.156940,9.941422,-1.660446
16.148951,10.036060,-1.566505
16.172541,10.253730,-1.640618
0.319913,7.553267,0.262966
0.230276,7.409578,0.446751
0.479360,7.329615,0.445508
17.160721,9.446016,-1.529893
17.426600,9.587067,-1.623352
17.607410,9.510067,-1.638266
17.848909,9.450683,-1.601495
17.971781,9.537006,-1.534971
18.102890,9.712184,-1.646324
18.299410,9.757341,-1.574539
18.476980,9.771326,-1.607649
18.646919,9.941224,-1.621600
18.912201,9.809327,-1.530091
19.309340,9.556322,-1.576754
19.519400,9.423921,-1.529920
20.005610,9.305847,-1.593765
20.192949,9.319708,-1.610884
19.684151,9.418937,-1.568345
0.502302,7.554429,0.295170
7.027107,-9.746169,1.144166
7.126680,-9.650419,1.183031
6.984700,-9.619150,1.228136
7.055116,-9.400405,1.093226
6.920908,-9.498499,1.162997
-0.200796,7.320884,0.251959
0.001002,7.030398,0.456873
-0.041898,7.402346,0.454857
7.250595,-9.637906,1.008027
8.848987,5.873944,-1.548508
9.383900,5.883086,-1.564492
9.086185,6.365589,-1.562480
-0.169535,7.069468,0.289020
9.549655,6.319399,-1.577675
1.535801,6.308465,0.422863
1.709920,6.229152,0.321056
9.337131,6.683069,-1.579196
9.119315,6.796340,-1.574798
1.160231,6.397410,0.282289
1.197003,6.559853,0.447638
0.923430,6.618853,0.450276
9.602718,6.713112,-1.567887
0.640836,6.679646,0.451600
0.877450,6.514895,0.341726
0.419705,6.625717,0.429632
0.568489,6.536625,0.271054
9.963163,5.883453,-1.573980
9.721910,6.138539,-1.595827
9.835345,5.827585,-1.526736
-0.027634,6.544774,0.463755
0.122747,6.455465,0.271153
10.139410,6.073177,-1.595004
10.225460,5.818671,-1.559703
10.441230,5.930524,-1.577622
10.530540,6.272587,-1.586742
10.307740,6.377470,-1.591200
10.782120,5.823416,-1.551202
10.690060,6.030649,-1.594312
9.891043,6.393877,-1.582435
10.024290,6.697723,-1.589889
7.045982,-5.163954,0.301663
6.881460,-5.228247,0.417923
7.009161,-5.047639,0.477654
7.098594,-5.397801,0.272355
7.273931,-5.291754,0.430344
7.088163,-5.262189,0.534708
10.367840,6.816655,-1.592571
10.914290,6.805490,-1.593753
11.127990,5.785375,-1.551960
11.354260,5.771387,-1.531639
11.614440,5.685933,-1.447229
12.029010,6.001374,-1.592824
12.050860,5.768660,-1.505421
11.902240,6.270982,-1.598645
6.352118,-9.568024,0.533131
6.474015,-9.523670,0.497333
6.338271,-9.519273,0.315131
6.224514,-9.758371,0.357315
6.349713,-9.690950,0.514560
11.775000,6.451490,-1.609569
12.006590,6.722802,-1.597109
5.252707,-9.273242,0.384877
5.110078,-9.572295,0.384439
5.546718,-9.581787,0.381414
5.465168,-9.827518,0.395589
9.083237,7.139002,-1.560547
6.392470,-10.169140,0.389046
6.471125,-9.961823,0.377867
9.307218,7.316041,-1.548647
9.641289,7.293727,-1.537653
9.745782,7.095330,-1.584042
10.180700,7.012926,-1.591758
10.158650,7.354919,-1.515458
10.428760,7.227936,-1.578807
10.699090,7.148008,-1.600605
10.516020,7.380376,-1.512286
11.042500,7.259251,-1.584008
10.807750,7.423661,-1.525978
11.317870,7.252722,-1.579824
11.685630,7.269986,-1.572149
12.043270,7.437862,-1.534183
12.215020,7.285930,-1.556925
12.440060,5.895465,-1.563744
12.286430,5.749998,-1.451252
12.315390,6.441999,-1.595129
12.874870,6.049292,-1.568208
13.108390,5.967335,-1.554692
13.161940,6.246474,-1.569772
12.661860,6.422761,-1.578139
12.681220,6.806942,-1.572314
12.353670,6.719874,-1.587007
12.766870,6.600571,-1.584944
13.253450,6.446769,-1.566533
13.031080,6.692069,-1.567013
12.332930,7.051646,-1.587337
12.803060,7.198979,-1.549542
12.997430,6.945480,-1.569962
13.302980,7.068066,-1.557683
9.713749,11.408230,-1.579814
11.583770,11.181530,-1.548691
11.799160,10.879360,-1.519641
11.673530,11.466880,-1.551106
9.581643,12.212180,-1.582221
9.312635,12.187690,-1.522574
9.485519,11.838960,-1.570059
9.735663,12.455600,-1.577889
9.843711,12.726080,-1.478529
11.577980,12.373970,-1.581500
13.428790,10.321370,-1.532854
14.018760,10.265990,-1.559646
13.524860,10.570780,-1.550277
13.248310,10.883540,-1.532383
17.684389,-0.572441,0.055457
17.647209,-0.510826,0.253060
17.589411,-0.659438,0.436450
15.392360,10.044100,-1.615955
15.692000,9.790947,-1.523511
14.748420,10.078120,-1.575447
15.116860,9.859725,-1.590487
16.821671,1.340118,0.287199
16.833651,1.271959,0.406457
17.011370,1.375582,0.247520
17.112551,1.341470,0.251088
16.644119,9.596082,-1.563453
8.353894,5.870630,-1.532610
8.808130,6.215372,-1.558254
8.171627,6.198761,-1.525587
8.458030,5.689212,-1.447113
9.054738,5.750422,-1.454903
8.256861,6.547625,-1.535289
8.741287,6.547539,-1.553573
8.582853,6.954899,-1.543134
8.286734,6.895818,-1.531412
17.189600,-0.901522,0.428769
17.424589,-0.888062,0.396277
17.330601,-0.690387,0.478515
8.891296,6.852465,-1.551979
9.540221,5.770103,-1.509201
17.286421,-0.416820,0.374747
17.280479,-0.474511,0.283150
8.315578,7.271408,-1.517368
7.880405,6.962378,-1.485572
8.689917,7.286635,-1.527735
7.042392,-9.600721,0.167174
6.645634,-9.598303,0.402721
6.656631,-9.740439,0.490227
8.919897,7.369897,-1.511949
6.663972,-9.891505,0.427804
6.863152,-10.123370,0.340017
6.988485,-9.913588,0.343584
6.621478,-10.293030,0.371187
9.953590,7.396418,-1.497120
11.041910,7.395836,-1.486618
11.349460,7.453806,-1.458640
12.837140,5.885555,-1.533054
13.480310,5.941024,-1.541492
13.589430,6.637442,-1.561035
13.376750,6.869868,-1.554598
13.820060,6.352622,-1.547842
13.905750,5.999834,-1.546777
13.646120,6.954052,-1.549742
13.885000,6.680644,-1.547909
14.013370,6.576953,-1.557458
14.357820,6.438478,-1.517993
14.144940,5.913115,-1.525754
14.520400,6.319335,-1.508955
14.269790,6.653375,-1.529797
13.975580,6.821883,-1.553441
14.305640,6.827263,-1.515219
12.484030,7.321540,-1.545008
12.269780,7.464657,-1.455553
13.391610,7.301016,-1.493980
17.453341,-0.326535,0.311194
17.469410,-0.534337,0.479173
13.635510,7.289632,-1.483669
13.949590,7.203995,-1.527669
14.258470,7.069768,-1.521179
17.263321,-0.636486,0.229866
13.006590,9.282183,-1.520810
13.187860,9.505354,-1.489327
13.107660,9.535869,-1.567293
17.278860,9.227730,-1.540899
17.537640,8.921977,-1.496025
17.631580,9.326648,-1.554102
17.502451,9.379753,-1.521587
17.795750,9.180624,-1.550716
17.646610,9.147414,-1.509868
16.593281,1.446783,0.398210
16.595949,1.415500,0.215673
9.106779,11.775780,-1.492810
9.131119,12.032590,-1.530023
9.003183,11.888530,-1.510490
17.122549,1.132758,0.234252
17.065411,0.866430,0.371331
11.584280,11.872810,-1.556533
11.324550,11.606200,-1.504987
16.480061,0.964966,0.244923
16.551451,0.977208,0.402027
13.231370,9.745523,-1.522176
13.418720,9.940479,-1.553987
13.173800,9.911465,-1.502788
13.203290,10.118220,-1.472457
17.118080,0.156649,0.337458
17.026369,0.330774,0.382228
16.980780,0.173927,0.334226
14.290660,9.905478,-1.538706
14.587040,9.805644,-1.523967
16.902149,0.023293,0.389126
13.632930,10.113270,-1.559990
13.620470,9.852905,-1.490563
13.938790,10.109320,-1.515318
13.904370,9.857120,-1.507173
14.077800,9.877350,-1.503571
12.017840,10.670870,-1.516733
12.395670,10.925950,-1.536721
12.064420,10.967370,-1.523459
17.051210,-0.790011,0.291561
12.266400,0.593983,0.312571
12.169110,0.852758,0.242677
14.864720,9.637169,-1.542488
14.675070,9.483529,-1.477590
15.284410,9.863777,-1.507794
15.476960,9.675147,-1.534463
15.677450,9.529160,-1.465186
15.861600,9.787139,-1.486826
16.231199,9.775124,-1.482020
16.314581,9.651394,-1.539369
16.377991,9.519718,-1.548213
16.664829,9.323880,-1.535598
16.772989,9.394849,-1.512829
17.279730,9.046923,-1.481821
3.320139,7.787968,0.393624
3.481684,7.778914,0.330401
3.502377,7.881248,0.333070
17.953270,9.182268,-1.451687
19.493441,9.171044,-1.516524
19.664009,9.169205,-1.559717
19.841539,9.264942,-1.542091
20.112301,9.113091,-1.561477
19.927660,8.974883,-1.431228
20.274580,9.145546,-1.542400
20.284479,8.900039,-1.428597
23.526150,5.272777,-1.473258
23.807150,5.158500,-1.488901
23.763359,5.453530,-1.524534
24.181940,5.150851,-1.544569
24.021441,5.012712,-1.480430
24.095671,5.346595,-1.577857
23.790449,5.607872,-1.572849
24.306890,5.254806,-1.586511
23.551680,5.723676,-1.521109
24.011560,5.637782,-1.577130
23.757370,5.789979,-1.543789
23.279091,5.912894,-1.458842
23.961109,5.886813,-1.569188
23.680941,6.059631,-1.558601
23.918619,6.195632,-1.543367
24.057779,6.223375,-1.577004
24.254490,6.222497,-1.561875
24.721939,5.828220,-1.619547
23.612101,6.387794,-1.536718
23.803909,6.377350,-1.550109
23.591709,6.603794,-1.567544
23.337040,6.561507,-1.471464
6.736454,-9.289092,1.147213
9.146998,11.587850,-1.525566
9.349672,11.374820,-1.521443
3.373814,7.541238,0.352439
10.292130,11.609230,-1.492662
11.414630,10.825550,-1.501429
10.566170,11.834400,-1.504487
10.776060,12.153450,-1.572315
10.930050,12.019420,-1.511628
11.279870,12.112320,-1.530723
11.251950,12.412220,-1.554467
11.233100,11.926730,-1.495660
12.662030,10.859950,-1.522526
12.873850,10.839300,-1.532632
13.056860,10.804840,-1.502093
15.306010,9.622095,-1.506829
15.027310,9.662416,-1.512014
16.991590,9.364522,-1.553965
16.817881,9.241555,-1.485387
17.053980,9.217727,-1.482828
17.334829,9.344297,-1.539848
18.280041,9.541651,-1.449757
18.506670,9.527652,-1.404303
18.727840,9.651305,-1.415194
19.297720,9.334105,-1.497297
3.328996,6.925350,0.318670
7.986943,5.972569,-1.496284
3.105188,7.764475,0.304945
7.807000,6.500109,-1.474880
7.942137,6.732352,-1.495754
2.608823,7.765268,0.283909
9.149446,5.691308,-1.367989
2.027362,7.822541,0.267551
11.139660,5.650241,-1.383409
3.334696,6.543741,0.287540
7.899889,7.225338,-1.487905
8.036470,7.509919,-1.411648
8.513825,7.412195,-1.466362
9.287575,7.551970,-1.277452
9.597333,7.530484,-1.344947
10.642170,7.532018,-1.418353
11.702450,7.504086,-1.461434
11.907040,7.583325,-1.432617
2.498898,6.056147,0.422310
2.666406,5.869346,0.295624
11.439550,8.501134,-1.471800
11.721470,8.799781,-1.512843
11.423240,8.854978,-1.492175
11.679040,8.585341,-1.467331
12.067220,8.355705,-1.488598
12.215940,8.880535,-1.476597
11.549940,9.080438,-1.468078
11.986410,9.093322,-1.491991
12.494070,5.615225,-1.351600
13.752720,5.782707,-1.331863
14.355020,5.855309,-1.504102
14.617810,6.032952,-1.475656
-0.130022,6.818310,0.361143
14.659110,6.652722,-1.477178
14.635780,7.039821,-1.488116
14.892450,6.778075,-1.437531
1.856851,6.165466,0.314832
12.620570,7.485410,-1.453245
12.811380,7.385384,-1.445124
13.159690,7.550359,-1.378210
12.151630,7.662457,-1.439521
12.018000,7.903601,-1.398086
12.269370,7.928186,-1.540827
12.395630,7.985152,-1.471596
12.135250,7.984491,-1.459596
12.450670,8.189386,-1.522310
13.866970,7.268975,-1.395250
14.313740,7.261355,-1.448744
-0.199601,6.510771,0.331593
14.511960,7.307387,-1.435045
12.522310,8.390124,-1.513354
12.441710,8.557454,-1.470295
12.633540,8.459227,-1.459720
17.922501,-0.992029,0.331790
17.822670,-0.902719,0.235531
17.811251,-0.962964,0.388351
12.788690,8.787011,-1.506112
12.854760,8.929072,-1.559408
12.809070,9.056385,-1.485311
12.958950,8.729896,-1.437680
13.047560,9.081910,-1.454640
13.209920,9.331463,-1.438837
16.281969,9.323616,-1.454264
16.385620,9.181565,-1.467145
17.902800,8.870163,-1.488421
17.894630,8.948800,-1.467745
9.532259,11.057090,-1.489591
9.284008,11.119730,-1.510127
9.601887,11.215980,-1.511443
8.997022,11.166950,-1.476432
7.260787,-5.200399,0.421600
7.379280,-5.240760,0.239316
8.990736,11.475530,-1.474219
8.881644,11.733250,-1.490398
7.171459,-5.085783,0.416027
7.135936,-5.061244,0.284698
7.353837,-5.041209,0.280362
11.437090,10.494480,-1.461303
11.850160,10.237540,-1.469959
11.716170,10.663450,-1.512145
10.915850,10.869020,-1.471217
11.220440,10.946750,-1.480501
11.075660,11.229680,-1.474260
11.426390,11.201480,-1.502947
11.286500,11.359280,-1.508508
10.912140,11.627080,-1.466963
9.880271,12.978310,-1.484348
13.008620,9.607906,-1.454235
13.387440,9.543406,-1.429291
13.490610,9.763079,-1.454582
12.319380,10.622720,-1.483724
12.149250,10.369140,-1.470585
12.453310,10.455130,-1.465654
12.905140,10.135560,-1.471536
13.098400,10.365920,-1.469536
13.333660,10.541460,-1.490842
13.145270,10.598480,-1.521183
12.910560,10.519260,-1.490816
13.875620,9.677538,-1.467609
13.945890,9.482445,-1.436720
14.354390,9.574449,-1.485093
14.969780,9.423913,-1.498214
15.229810,9.260322,-1.448080
15.408570,9.460011,-1.462131
16.101629,9.516806,-1.458571
16.011721,9.660943,-1.485147
7.989839,5.767026,-1.474748
8.138118,5.642235,-1.424826
7.659974,6.144173,-1.450372
7.437708,6.376122,-1.403900
7.610776,6.730721,-1.444976
8.851694,5.646535,-1.386057
10.038170,5.692307,-1.408923
10.384670,5.821406,-1.434647
10.815970,5.733444,-1.384966
7.471801,7.023283,-1.394893
7.703160,7.433721,-1.426516
10.346910,7.587546,-1.366873
10.844160,7.607646,-1.398990
11.066690,7.590081,-1.383868
11.441530,7.667562,-1.394170
10.983860,8.225769,-1.427647
11.191630,8.527341,-1.444392
10.867170,8.678739,-1.430205
11.094820,8.790250,-1.456172
11.303090,8.219021,-1.422986
11.677440,8.335384,-1.465481
11.925020,8.136332,-1.426600
10.835760,8.963523,-1.451774
11.117780,8.980503,-1.459022
11.300120,9.150559,-1.477328
10.787400,9.262047,-1.443648
11.359700,9.420794,-1.453402
11.594180,9.235527,-1.480225
11.982850,9.337862,-1.469254
14.121780,5.772029,-1.366429
14.651560,5.753656,-1.411153
14.928970,6.324901,-1.415804
13.400730,7.427653,-1.425147
12.447340,7.760377,-1.427624
13.916020,7.365463,-1.408472
6.883490,-5.156612,0.288281
12.558120,8.160840,-1.434779
12.591140,8.740662,-1.468517
12.800710,8.542854,-1.463666
5.913062,-9.696178,0.355240
6.127406,-9.554102,0.305764
5.874004,-9.495891,0.355548
5.687743,-9.377613,0.333522
5.693504,-9.658648,0.386308
12.643570,9.188697,-1.454119
12.302580,9.241062,-1.454044
12.178150,9.331546,-1.479672
12.619180,9.397605,-1.460894
13.141120,8.827198,-1.423823
12.743810,9.318156,-1.409299
14.198530,9.387605,-1.457968
14.204320,9.065721,-1.441732
14.444930,9.234761,-1.413902
15.540370,9.216939,-1.466741
15.224690,9.026499,-1.439820
4.923662,-9.113716,0.375641
5.313055,-8.837867,0.280421
15.674040,9.298142,-1.458661
15.779380,9.029728,-1.416585
15.866990,9.142453,-1.461475
15.925130,9.290619,-1.448751
16.986629,9.001020,-1.436133
16.663160,8.980877,-1.461783
4.680600,-8.683840,0.293064
4.544542,-8.972764,0.362222
8.656897,11.019940,-1.420633
8.598719,11.335320,-1.441174
8.988714,10.853160,-1.436956
9.261367,10.805870,-1.453765
8.741245,11.602120,-1.479830
8.796414,11.420730,-1.477016
8.819995,12.021150,-1.427207
10.781230,9.495955,-1.449148
10.627510,9.655298,-1.440430
10.384060,9.480919,-1.420758
10.276000,9.675079,-1.434420
10.573300,9.917999,-1.467388
10.905850,9.828767,-1.490286
10.802000,10.158720,-1.453950
10.533620,10.246090,-1.436502
10.612630,10.594400,-1.446136
10.395490,10.501030,-1.425386
11.014940,10.541090,-1.477270
4.774563,-9.391110,0.360085
11.059600,9.477018,-1.439773
11.182120,9.643447,-1.463544
11.434030,9.627792,-1.445687
11.467110,9.858379,-1.450597
11.141520,9.857791,-1.450868
11.726870,9.724086,-1.452934
11.980220,9.681989,-1.426079
11.707860,10.010930,-1.453204
12.034030,10.016620,-1.444159
12.148440,9.927539,-1.455431
11.244580,10.120230,-1.440810
5.228455,-10.040210,0.367519
11.427670,10.231220,-1.468177
4.790415,-9.849275,0.342725
10.654180,11.031720,-1.445404
4.326073,-9.143848,0.337833
9.980314,11.276930,-1.461960
10.277710,11.260980,-1.456478
10.370700,11.340510,-1.440533
10.819960,11.458420,-1.472491
4.497442,-9.692289,0.348576
12.461670,9.507860,-1.451374
12.172530,9.691519,-1.446910
12.498290,9.686456,-1.440394
12.743530,9.585340,-1.441561
12.039120,9.702212,-1.390897
12.344400,9.916696,-1.423110
12.781780,9.799127,-1.454643
12.560400,9.979071,-1.447333
7.059492,-10.307320,0.343394
13.018810,9.854512,-1.463155
12.375520,10.095850,-1.459721
12.334280,10.287850,-1.471968
6.724475,-10.674710,0.366939
6.967682,-10.572230,0.364432
12.774290,10.101860,-1.382194
12.594240,10.256950,-1.478811
12.748800,10.270220,-1.459856
13.603340,9.582838,-1.429747
6.119238,-10.399840,0.365118
6.423932,-10.552440,0.346238
16.075310,9.361749,-1.491226
9.701342,5.630338,-1.298217
10.607930,5.639637,-1.381413
5.941246,-10.006070,0.384477
12.791370,5.610525,-1.328501
13.313320,5.739796,-1.338258
14.736190,9.084682,-1.443638
17.118130,8.781718,-1.451043
16.326481,8.991814,-1.402487
17.352680,8.690626,-1.462253
17.640369,8.716618,-1.435153
17.233959,8.751918,-1.416940
17.951651,8.764861,-1.397296
19.577629,9.032110,-1.502007
19.332451,9.021553,-1.475175
19.399321,8.812747,-1.390777
19.087660,9.117178,-1.433413
19.156231,9.201490,-1.484751
19.044661,9.395211,-1.387479
23.221050,5.683189,-1.423228
23.638981,5.032651,-1.397497
23.912140,4.873974,-1.464986
23.307871,5.389489,-1.430852
23.159849,6.071399,-1.455461
23.262951,6.291060,-1.472225
22.961790,6.243983,-1.383949
23.216339,6.754499,-1.450428
